Date,Site,Site_Lat,Site_Long,D,V,Temp,Sal,pH
6/27/18,LR,43.0066211,-70.905112,118.7767948,0.026200764,19.5,29.5,8
6/27/18,SQ,43.059328,-70.9073,85.58916095,0.008733588,19.5,29.5,8
6/27/18,NI,43.069075,-70.864235,94.3227488,0,19.5,29.5,8
6/27/18,WP,43.071387,-70.862014,80.65666872,0,19.5,29.5,8
7/9/18,LR,43.0066211,-70.905112,169.2605963,0,23.4,27.1,8
7/9/18,SQ,43.059328,-70.9073,46.55541686,0.087300979,23.4,27.1,8
7/9/18,NI,43.069075,-70.864235,0,0,23.4,27.1,8
7/9/18,WP,43.071387,-70.862014,87.55311632,0,23.4,27.1,8
7/18/18,LR,43.0066211,-70.905112,75.24321842,0,21.8,29.3,7.9
7/18/18,SQ,43.059328,-70.9073,48.01743999,0.068853121,21.8,29.3,7.9
7/18/18,NI,43.069075,-70.864235,218.5256498,1.2963386,21.8,29.3,7.9
7/18/18,WP,43.071387,-70.862014,71.1828785,0.95431355,21.8,29.3,7.9
7/24/18,LR,43.0066211,-70.905112,4350.089048,0.061113105,22.6,28.8,8.1
7/24/18,SQ,43.059328,-70.9073,24593.49921,0,22.6,28.8,8.1
7/24/18,NI,43.069075,-70.864235,1280.383664,0.138893421,22.6,28.8,8.1
7/24/18,WP,43.071387,-70.862014,10436.23801,0.023505041,22.6,28.8,8.1
8/2/18,LR,43.0066211,-70.905112,1521.716325,1.100035898,23.3,26.1,8
8/2/18,SQ,43.059328,-70.9073,1643.942536,0.152782764,23.3,26.1,8
8/2/18,NI,43.069075,-70.864235,297.2026812,0.409565022,23.3,26.1,8
8/2/18,WP,43.071387,-70.862014,480.5062589,0.346664984,23.3,26.1,8
8/8/18,LR,43.0066211,-70.905112,1075.546732,1.008325061,25.2,21.6,7.8
8/8/18,SQ,43.059328,-70.9073,913.6036163,0.030555305,25.2,21.6,7.8
8/8/18,NI,43.069075,-70.864235,785.9503377,1.069435665,25.2,21.6,7.8
8/8/18,WP,43.071387,-70.862014,1856.907174,1.219254553,25.2,21.6,7.8
8/20/18,LR,43.0066211,-70.905112,7694.207689,0,23.3,21.7,7.9
8/20/18,SQ,43.059328,-70.9073,2903.761269,0,23.3,21.7,7.9
8/20/18,NI,43.069075,-70.864235,257.2100424,0,23.3,21.7,7.9
8/20/18,WP,43.071387,-70.862014,3024.43911,0.066113817,23.3,21.7,7.9
7/10/19,LR,43.0066211,-70.905112,1007.803118,0,22.9,25.8,8
7/10/19,SQ,43.059328,-70.9073,343.915212,0,22.9,25.8,8
7/10/19,NI,43.069075,-70.864235,234.0367505,0,22.9,25.8,8
7/10/19,WP,43.071387,-70.862014,126.2502157,0,22.9,25.8,8
7/16/19,LR,43.0066211,-70.905112,23.97547036,0,22.5,26.3,8
7/16/19,SQ,43.059328,-70.9073,19.70483013,0,22.5,26.3,8
7/16/19,NI,43.069075,-70.864235,10.33255652,0,22.5,26.3,8
